# pombe-cerevisiae manually curated orthologs V2.23
SPAC1782.04	YLR204W(N)|YNL295W(C)
SPCC338.06c	YBR072W|YDR171W
SPCC338.03c	NONE
SPCC338.02	NONE
SPCC330.19c	NONE
SPCC330.09	YGR145W
SPCC330.07c	NONE
SPCC330.06c	YLR109W
SPCC330.04c	NONE
SPCC330.03c	YMR073C
SPCC320.14	YKL218C
SPCC320.12	YNR020C
SPCC320.11c	YPL211W
SPCC320.08	NONE
SPCC320.06	NONE
SPCC320.05	YPR003C
SPCC320.04c	YAL048C
SPCC320.03	YBR033W|YKL038W
SPCC31H12.06	NONE
SPCC31H12.03c	YER063W
SPCC31H12.02c	YBR054W|YCR021C|YDR033W
SPCC306.11	NONE
SPCC306.08c	YKL085W
SPCC306.07c	YHR052W|YKR060W
SPCC306.06c	YHR101C
SPCC306.02c	YNL044W
SPCC2H8.05c	NONE
SPCC2H8.04	NONE
SPCC2H8.02	YML123C
SPCC297.06c	YKL142W
SPCC297.05	NONE
SPCC285.14	YMR218C
SPCC285.13c	YAR002W
SPCC285.10c	YKL124W|YMR171C
SPCC285.05	NONE
SPCC285.04	NONE
SPCC285.03	YNR038W
SPCC24B10.20	YKL071W
SPCC24B10.19c	NONE
SPCC24B10.18	YLR363W-A
SPCC24B10.16c	NONE
SPCC24B10.15	YOR166C
SPCC24B10.12	YML036W
SPCC24B10.11c	YML062C
SPCC24B10.10c	YGR028W
SPCC24B10.08c	YDR448W
SPCC24B10.06	NONE
SPCC24B10.05	YEL020W-A
SPCC24B10.04	NONE
SPCC24B10.03	NONE
SPCC24B10.02c	YEL041W|YJR049C
SPCC23B6.04c	YNL231C|YNL264C
SPCC23B6.02c	YAL059W
SPCC23B6.01c	YHR001W|YKR003W|YOR237W|YPL145C
SPCC1919.15	YDL074C
SPCC1919.13c	YIL096C
SPCC1919.12c	YBR074W
SPCC1919.11	NONE
SPCC1919.08c	YMR286W
SPCC1919.07	NONE
SPCC1919.05	YPR189W
SPCC1919.04	NONE
SPCC1919.03c	YER027C|YGL208W
SPCC1919.02	YCL052C
SPCC1919.01	NONE
SPCC191.10	NONE
SPCC191.08	YNL260C
SPCC191.06	NONE
SPCC191.05c	NONE
SPCC191.04c	NONE
SPCC191.03c	NONE
SPCC191.02c	YAL054C|YLR153C
SPCC191.01	NONE
SPCC1906.03	NONE
SPCC1906.02c	YGL110C
SPCC1902.02	YDR251W|YPL032C
SPCC18B5.10c	YNL253W
SPCC18B5.09c	NONE
SPCC18B5.08c	YPL040C
SPCC18B5.05c	YPR121W|YPL258C|YOL055C
SPCC18B5.04	YER050C
SPCC188.09c	NONE
SPCC188.05	NONE
SPCC1840.12	YJL212C|YPR194C
SPCC1840.11	YNL232W
SPCC1840.09	YLR290C
SPCC1840.08c	YIL005W
SPCC1840.07c	YNL217W
SPCC1840.05c	YMR278W
SPCC1840.04	YOR197W
SPCC1827.07c	YIL047C
SPCC1827.06c	YDR158W
SPCC1827.05c	YNL110C
SPCC1827.04	YDR049W
SPCC1827.03c	YBR222C
SPCC1827.02c	YGR202C
SPCC1827.01c	YIL091C
SPCC18.17c	NONE
SPCC18.15	YBR246W
SPCC18.13	YDR165W
SPCC18.12c	YOR004W
SPCC18.10	YEL029C|YNR027W
SPCC18.09c	YOR258W
SPCC18.08	YNL073W
SPCC18.06c	YNR052C
SPCC18.05c	YCR072C
SPCC18.03	YNL023C
SPCC18.02	NONE
SPCC1795.12c	NONE
SPCC1795.10c	YHR181W
SPCC1795.08c	YDR359C
SPCC1795.07	YNL081C
SPCC1795.05c	YKL024C
SPCC1795.04c	YOR362C
SPCC1795.02c	YDL128W
SPCC1742.01	NONE
SPCC1739.10	YFR012W|YMR063W|YOL019W
SPCC1739.08c	NONE
SPCC1739.07	YHR081W
SPCC1739.06c	YKR069W
SPCC1739.04c	NONE
SPCC1739.02c	YNL177C
SPCC1739.01	YPL054W
SPCC16C4.21	NONE
SPCC16C4.20c	NONE
SPCC16C4.19	YDR478W
SPCC16C4.16c	NONE
SPCC16C4.15	YEL050C
SPCC16C4.12	YPR131C
SPCC16C4.10	YCR073W-A|YGR248W|YHR163W|YNR034W
SPCC16C4.06c	YGL063W|YPL212C
SPCC16C4.05	YNL282W
SPCC16C4.04	NONE
SPCC16C4.02c	NONE
SPCC16C4.01	YDL001W|YDR282C|YFR048W
SPCC16A11.16c	YLR421C
SPCC16A11.15c	NONE
SPCC16A11.03c	NONE
SPCC16A11.02	YLR222C
SPCC16A11.01	YKL051W
SPCC1682.15	NONE
SPCC1682.13	YAL034C|YOR338W
SPCC1682.12c	YNL186W
SPCC1682.11c	YOR161C
SPCC1682.09c	YDL198C
SPCC1682.06	NONE
SPCC1682.05c	YPL243W
SPCC1672.12c	YOR164C
SPCC1672.11c	YOR291W
SPCC1672.09	YKL140W
SPCC1672.07	YLR409C
SPCC1672.05c	YGR185C
SPCC1672.04c	YLL018C-A
SPCC1672.03c	YDL238C
SPCC1672.01	YFR025C
SPCC1620.13	NONE
SPCC1620.12c	YMR192W|YPL249C
SPCC1620.11	YFR002W
SPCC1620.08	YGR244C
SPCC1620.07c	YHR192W
SPCC1620.06c	YBL068W|YER099C|YHL011C
SPCC1620.05	YJL031C
SPCC1620.04c	NONE
SPCC1620.03	YGR053C
SPCC1620.02	NONE
SPCC1529.01	NONE
SPCC14G10.04	NONE
SPCC14G10.03c	YBR173C
SPCC14G10.02	YKL014C
SPCC14G10.01	YDR196C
SPCC1494.10	YER109C
SPCC1494.09c	YOR352W
SPCC1494.08c	YBL086C
SPCC1494.07	YMR259C
SPCC1494.06c	YLR276C
SPCC1494.03	YPL161C
SPCC1494.01	NONE
SPCC1450.16c	YMR313C
SPCC1450.13c	YBR256C
SPCC1450.12	YPR097W
SPCC1450.10c	YNL240C
SPCC1450.09c	YMR006C|YMR008C|YOL011W
SPCC1450.07c	NONE
SPCC1450.03	YDR398W
SPCC1450.02	YDL070W|YLR399C
SPCC1442.17c	YNL265C
SPCC1442.16c	YBR046C
SPCC1442.14c	YDL125C
SPCC1442.13c	YNL224C
SPCC1442.12	YER026C
SPCC1442.11c	NONE
SPCC1442.07c	NONE
SPCC1442.06	YML092C
SPCC1442.05c	YGR235C|YNL100W
SPCC1442.04c	YGL250W
SPCC1442.03	YMR166C
SPCC1442.02	YBR216C|YGL060W
SPCC13B11.04c	YDL168W
SPCC13B11.03c	YDR272W|YOR040W
SPCC13B11.02c	NONE
SPCC1393.14	YLR010C
SPCC1393.13	YMR027W
SPCC1393.12	NONE
SPCC1393.11	YKR085C
SPCC1393.09c	YDR152W
SPCC1393.08	NONE
SPCC1393.07c	NONE
SPCC1393.06c	YHR085W
SPCC1393.05	NONE
SPCC1393.04	YDR383C
SPCC1393.02c	YER161C
SPCC1322.16	YGR231C
SPCC1322.10	NONE
SPCC1322.09	YJL123C
SPCC1322.07c	NONE
SPCC1322.05c	YNL045W
SPCC1322.04	YHL012W|YKL035W
SPCC1322.03	NONE
SPCC1322.02	NONE
SPCC1322.01	YMR287C
SPCC132.04c	YDL215C
SPCC132.03	NONE
SPCC132.01c	YPL009C
SPCC1281.08	NONE
SPCC1281.07c	YGR154C|YKR076W|YMR251W
SPCC1281.06c	YGL055W
SPCC1281.04	YPR127W
SPCC1281.03c	YGL231C
SPCC126.13c	NONE
SPCC126.12	YGL221C
SPCC126.11c	NONE
SPCC126.09	YKL175W
SPCC126.08c	NONE
SPCC126.07c	YPR093C
SPCC126.05c	YNL252C
SPCC126.04c	YGL066W
SPCC126.01c	NONE
SPCC1259.12c	YGL227W
SPCC1259.11c	YGR100W
SPCC1259.09c	YGR193C
SPCC1259.08	NONE
SPCC1259.07	YDL076C
SPCC1259.06	YML114C
SPCC1259.04	NONE
SPCC1259.02c	YBR074W
SPCC1235.11	YGL080W
SPCC1235.09	YBR103W
SPCC1235.04c	YDL045C
SPCC1235.03	YKL090W
SPCC1235.01	NONE
SPCC1223.14	YGL148W
SPCC1223.13	NONE
SPCC1223.09	NONE
SPCC1223.07c	YLL018C
SPCC1223.04c	YDR198C
SPCC1223.01	YDR266C
SPCC11E10.09c	NONE
SPCC11E10.07c	YKR026C
SPCC11E10.06c	YPL101W
SPCC11E10.04	YMR282C
SPCC11E10.01	YGL184C
SPCC1183.11	NONE
SPCC1183.07	YMR229C
SPCC1183.04c	YOR017W
SPCC1183.03c	YDL120W
SPCC1183.02	YGR201C|YKL081W|YPL048W
SPCC1020.13c	YOR022C
SPCC1020.12c	NONE
SPCC1020.11c	YLL014W
SPCC1020.09	NONE
SPCC1020.08	YPL207W
SPCC1020.07	YKL033W-A
SPCC1020.05	YLR361C|YOR137C
SPCC1020.03	YMR177W|YPL224C
SPCC1020.02	YGL093W
SPAC8C9.17c	YKR037C
SPAC56F8.11	YLR066W
SPCC188.04c	YER018C
SPBC336.08	YMR117C
SPCC1223.15c	YDR201W
SPBPJ4664.05	YHR140W
SPBPJ4664.04	YDL145C
SPBPJ4664.02	NONE
SPBPB8B6.06c	YOR390W|YPL279C
SPBPB8B6.05c	YLR155C|YLR157C|YLR158C|YLR160C
SPBPB8B6.03	YDR242W
SPBPB8B6.02c	YHL016C
SPBPB7E8.02	YDR505C|YLR177W
SPBPB7E8.01	NONE
SPBPB2B2.19c	NONE
SPBPB2B2.18	YBL029C-A
SPBPB2B2.17c	NONE
SPBPB2B2.16c	NONE
SPBPB2B2.15	YGL258W|YOR387C
SPBPB2B2.14c	NONE
SPBPB2B2.13	YBR020W|YDR009W
SPBPB2B2.12c	YBR019C
SPBPB2B2.11	NONE
SPBPB2B2.10c	YBR018C
SPBPB2B2.09c	YHR063C
SPBPB2B2.08	NONE
SPBPB2B2.07c	NONE
SPBPB2B2.06c	YHR202W
SPBPB2B2.05	NONE
SPBPB2B2.02	YGR263C
SPBPB2B2.01	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YEL063C|YGR191W|YKR039W|YNL268W|YNL270C|YOL020W|YOR348C|YPL265W
SPBPB21E7.09	YLR155C|YLR157C|YLR158C|YLR160C
SPBPB21E7.05	NONE
SPBPB21E7.04c	NONE
SPBPB10D8.07c	YPL092W
SPBPB10D8.06c	YPL092W
SPBPB10D8.05c	YPL092W
SPBPB10D8.04c	YPL092W
SPBPB10D8.02c	NONE
SPBPB10D8.01	YLL055W
SPBP8B7.31	YER134C
SPBP8B7.30c	NONE
SPBP8B7.29	YNR033W
SPBP8B7.28c	NONE
SPBP8B7.27	YJR036C
SPBP8B7.26	NONE
SPBP8B7.23	YLR427W
SPBP8B7.21	YER151C
SPBP8B7.20c	YNL061W
SPBP8B7.19	YGL207W
SPBP8B7.18c	YOL055C|YPL258C|YPR121W
SPBP8B7.17c	YOL055C|YPL258C|YPR121W
SPBP8B7.15c	YKL059C
SPBP8B7.13	YNL054W
SPBP8B7.10c	YOR078W
SPBP8B7.09c	YKL205W
SPBP8B7.08c	YDR435C
SPBP8B7.05c	YNL036W
SPBP8B7.04	NONE
SPBP8B7.02	NONE
SPBP8B7.01c	YBR167C
SPBP4H10.19c	NONE
SPBP4H10.18c	NONE
SPBP4H10.17c	YHR075C
SPBP4H10.16c	YOR043W
SPBP4H10.14c	NONE
SPBP4H10.12	YBR137W
SPBP4H10.11c	YIL009W|YMR246W|YOR317W
SPBP4H10.10	NONE
SPBP4H10.07	NONE
SPBP4G3.03	YCR076C
SPBP35G2.14	YJR091C|YPR042C
SPBP35G2.12	YBR111C
SPBP35G2.11c	YOL082W
SPBP35G2.09	YLR298C
SPBP35G2.08c	YDL175C|YIL079C
SPBP35G2.04c	NONE
SPBP35G2.02	NONE
SPBP26C9.03c	YMR319C
SPBP23A10.12	NONE
SPBP23A10.11c	YBR162C|YJL171C
SPBP23A10.09	YDR013W
SPBP23A10.06	YGR257C
SPBP23A10.03c	YDR511W
SPBP23A10.02	YMR123W
SPBP22H7.06	YNL129W
SPBP22H7.05c	YGR270W
SPBP22H7.04	NONE
SPBP22H7.03	YPR159W|YGR143W  
SPBP22H7.02c	YPR112C
SPBP19A11.07c	YLR436C
SPBP19A11.02c	NONE
SPBP19A11.01	YAL044C
SPBP18G5.03	NONE
SPBP18G5.02	YCL004W
SPBP16F5.08c	YHR176W
SPBP16F5.06	YOL144W
SPBP16F5.05c	YPL239W
SPBP16F5.03c	YHR099W
SPBCPT2R1.04c	NONE
SPBCPT2R1.03	NONE
SPBCPT2R1.02	NONE
SPBCPT2R1.01c	NONE
SPBC9B6.11c	YML118W|YMR285C
SPBC9B6.07	YDR087C
SPBC9B6.06	YNL284C
SPBC9B6.03	YGL023C
SPBC947.15c	YDL085W|YML120C|YMR145C
SPBC947.14c	YBR120C
SPBC947.13	YDR527W
SPBC947.10	YKL034W
SPBC947.09	YDR533C|YMR322C|YOR391C|YPL280W
SPBC947.08c	YBR215W
SPBC947.06c	YLL028W
SPBC947.05c	YGL160W|YKL220C|YLL051C|YLR047C|YLR214W|YNR060W|YOL152W|YOR381W|YOR384W
SPBC947.04	NONE
SPBC947.03c	YCR020C-A
SPBC902.04	NONE
SPBC902.03	YAL009W
SPBC8E4.05c	NONE
SPBC8E4.04	YDR368W|YOR120W
SPBC8E4.03	NONE
spncrna.9001	NONE
SPBC8E4.01c	YML123C
SPBC8D2.18c	YER043C
SPBC8D2.17	YDR245W|YJL183W
SPBC8D2.16c	YGR283C|YMR310C
SPBC8D2.15	YOR196C
SPBC8D2.13	YIL104C
SPBC8D2.12c	YGR021W
SPBC8D2.11	NONE
SPBC8D2.09c	YIR009W
SPBC8D2.06	YBL076C
SPBC8D2.02c	YOL129W
SPBC887.18c	YPL254W
SPBC887.17	NONE
SPBC887.16	NONE
SPBC887.15c	YDR297W
SPBC887.13c	YER061C
SPBC887.12	YAL026C
SPBC887.09c	YOR353C
SPBC887.08	NONE
SPBC887.07	YKL170W
SPBC887.02	YJR040W
SPBC887.01	YMR009W
SPBC839.16	YBR084W|YGR204W
SPBC839.14c	YIL064W
SPBC839.10	YGR013W
SPBC839.09c	YBL090W
SPBC839.03c	YLR128W
SPBC839.02	YJL084C|YKR021W
SPBC83.19c	NONE
SPBC83.18c	YNL152W
SPBC83.17	YOR298C-A
SPBC83.16c	YJL082W|YKR018C
SPBC83.15	YGL111W
SPBC83.13	YMR241W
SPBC83.12	NONE
SPBC83.11	YJL193W|YOR307C
SPBC83.10	NONE
SPBC83.09c	YHR156C
SPBC83.08	YPL235W
SPBC83.06c	YPL183W-A
SPBC83.05	YMR302C
SPBC800.14c	NONE
SPBC800.13	YFR046C
SPBC800.12c	NONE
SPBC800.11	NONE
SPBC800.10c	YBL047C
SPBC776.17	YCL031C
SPBC776.16	NONE
SPBC776.15c	YDR148C
SPBC776.10c	YNL041C
SPBC776.08c	YGR090W
SPBC776.07	YIL070C
SPBC776.06c	YOR129C
SPBC776.05	YGR149W
SPBC776.03	YJR139C
SPBC725.14	YJL071W
SPBC725.12	YHR199C-A
SPBC725.10	NONE
SPBC725.08	NONE
SPBC725.05c	YCR026C|YEL016C
SPBC725.04	YEL020C
SPBC725.03	YGR017W
SPBC725.01	YKL106W
SPBC713.10	YJL104W
SPBC713.09	NONE
SPBC713.07c	YDR452W
SPBC713.06	YDL164C
SPBC713.05	NONE
SPBC713.04c	YCR057C
SPBC713.03	YDL178W|YEL071W
SPBC6B1.12c	YBR111W-A
SPBC6B1.05c	YHR171W
SPBC6B1.03c	YHR097C
SPBC691.05c	YBR086C
SPBC691.04	YDR194C
SPBC691.02c	YGL145W
SPBC691.01	YDR459C|YNL326C
SPBC685.08	NONE
SPBC685.03	NONE
SPBC685.02	YBR163W
SPBC660.17c	NONE
SPBC660.16	YGR256W|YHR183W
SPBC660.15	YOL123W
SPBC660.12c	NONE
SPBC660.10	YJL102W
SPBC660.09	NONE
SPBC660.08	NONE
SPBC660.06	YFL010C
SPBC660.05	YFL010C
SPBC651.12c	NONE
SPBC651.09c	YGL244W
SPBC651.06	NONE
SPBC651.04	NONE
SPBC651.02	YJL126W
SPBC651.01c	YPL093W
SPBC646.16	YGL011C
SPBC646.15c	NONE
SPBC646.10c	YLR197W
SPBC646.08c	YHR001W|YKR003W|YOR237W|YPL145C
SPBC646.07c	YDL015C
SPBC646.03	YMR293C
SPBC609.05	YML069W
SPBC609.03	NONE
SPBC609.01	NONE
SPBC582.10c	YBR114W
SPBC582.08	YDR111C|YLR089C
SPBC582.04c	NONE
SPBC577.15c	YLL022C
SPBC577.13	YIL002C
SPBC577.12	YLR143W
SPBC577.11	NONE
SPBC577.10	YFR050C
SPBC577.09	YDR030C
SPBC577.08c	NONE
SPBC577.07	YFR005C
SPBC577.06c	YLR305C
SPBC577.04	NONE
SPBC577.03c	NONE
SPBC56F2.14	YMR225C
SPBC56F2.12	YLR355C
SPBC56F2.08c	YJR091C|YPR042C
SPBC56F2.07c	YLR397C
SPBC56F2.06	NONE
SPBC56F2.05c	NONE
SPBC56F2.04	YBL004W
SPBC56F2.03	YDR106W
SPBC557.05	NONE
SPBC557.02c	NONE
SPBC543.10	YGL020C
SPBC543.09	YER017C|YMR089C
SPBC543.08	YDR319C|YGL126W
SPBC543.05c	YNL275W
SPBC543.04	YHL023C
SPBC543.02c	NONE
SPBC530.15c	YLL028W
SPBC530.13	YJL006C
SPBC530.11c	NONE
SPBC530.09c	YPR079W
SPBC530.08	NONE
SPBC530.07c	NONE
SPBC530.06c	YMR012W
SPBC530.05	NONE
SPBC530.02	NONE
SPBC530.01	YOR070C
SPBC4F6.17c	YDR258C
SPBC4F6.14	YPL043W
SPBC4F6.13c	YMR049C
SPBC4F6.12	YKR090W
SPBC4F6.11c	YML096W
SPBC4F6.08c	YML009C
SPBC4F6.07c	YBR142W
SPBC4F6.05c	YFL048C|YLR080W
SPBC4C3.10c	YJL001W
SPBC4C3.09	YOR320C
SPBC4C3.08	YOR320C
SPBC4C3.07	NONE
SPBC4C3.06	YCR030C
SPBC4C3.04c	YPR017C
SPBC4C3.03	YHR025W
SPBC4B4.12c	NONE
SPBC4B4.11	YHR059W
SPBC4B4.07c	YBR119W
SPBC4B4.04	YGR054W
SPBC4B4.02c	YPR155C
SPBC4B4.01c	YDR531W
SPBC428.19c	YMR093W
SPBC428.17c	YDR014W
SPBC428.15	YGR210C
SPBC428.14	YBR042C|YDR018C
SPBC428.12c	NONE
SPBC428.11	YLR303W
SPBC428.10	NONE
SPBC428.06c	YBR095C
SPBC428.04	YIL040W
SPBC418.02	YDL040C
SPBC409.19c	YMR060C
SPBC409.18	YDR284C
SPBC409.17c	NONE
SPBC409.16c	YAL027W
SPBC409.15	YLR435W
SPBC409.14c	YMR188C
SPBC409.13	YOL143C
SPBC409.12c	YDR082W
SPBC409.08	YGR138C|YPR156C
SPBC409.06	NONE
SPBC405.06	YLR090W
SPBC405.05	YMR159C
SPBC405.03c	YDR438W|YML018C
SPBC405.02c	NONE
SPBC4.03c	YHR098C
SPBC4.02c	YMR265C
SPBC4.01	YBR040W
SPBC3H7.14	NONE
SPBC3H7.13	YDR200C|YLR238W
SPBC3H7.12	YDR202C
SPBC3H7.11	YOR239W
SPBC3H7.10	YMR312W
SPBC3H7.08c	NONE
SPBC3H7.07c	YGR208W
SPBC3H7.05c	NONE
SPBC3H7.04	YDR347W|YJR101W
SPBC3H7.03c	YIL125W
SPBC3H7.02	YBR294W|YLR092W
SPBC3F6.04c	YDL148C
SPBC3F6.02c	YGL001C
SPBC3F6.01c	YGR123C
SPBC3E7.13c	YGR129W
SPBC3E7.11c	YER048C|YIR004W
SPBC3E7.09	YOR154W
SPBC3E7.07c	YPL225W
SPBC3E7.06c	YBR293W|YMR088C
SPBC3E7.05c	YKR016W
SPBC3D6.16	NONE
SPBC3D6.13c	YIL005W
SPBC3D6.12	YLR129W
SPBC3D6.08c	YJL124C
SPBC3D6.06c	YOL061W
SPBC3D6.03c	YKR079C
SPBC3B9.19	YOR232W
SPBC3B9.14c	YMR024W
SPBC3B9.12	YDR246W
SPBC3B9.09	YLR417W
SPBC3B9.08c	NONE
SPBC3B9.06c	YNR007C
SPBC3B9.05	YKL084W
SPBC3B9.04	YDR316W
SPBC3B9.03	YDR292C
SPBC3B9.01	YBR101C
SPBC3B8.11	YBL014C
SPBC3B8.10c	YHR004C
SPBC3B8.09	YDL153C
SPBC3B8.08	NONE
SPBC3B8.06	YCR061W|YNL237W
SPBC3B8.05	YIL103W
SPBC3B8.04c	YCR037C|YJL198W|YNR013C
SPBC3B8.03	YNR050C
SPBC3B8.01c	YDR376W
SPBC36B7.08c	YNL246W
SPBC36B7.06c	NONE
SPBC36B7.05c	YDR313C
SPBC36B7.04	YML080W
SPBC36B7.02	NONE
SPBC365.20c	YGL037C
SPBC365.16	NONE
SPBC365.14c	YBR019C
SPBC365.11	YLR309C
SPBC365.10	YNL059C
SPBC365.09c	YOR077W
SPBC365.08c	YBR201W|YDR411C
SPBC365.07c	YJR134C
SPBC365.04c	YDL213C
SPBC365.01	YLR380W
SPBC36.11	NONE
SPBC36.10	YDR185C|YLR168C
SPBC36.08c	YGR120C
SPBC36.07	YLR384C
SPBC36.06c	YJL167W
SPBC36.03c	YLL028W
SPBC36.02c	YLL028W
SPBC36.01c	YLL028W
SPBC359.06	NONE
SPBC359.05	YDR135C|YGR281W|YHL035C|YLL015W|YLL048C
SPBC359.04c	NONE
SPBC359.03c	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YEL063C|YGR191W|YKR039W|YNL268W|YNL270C|YOL020W|YOR348C|YPL265W
SPBC359.01	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YEL063C|YGR191W|YKR039W|YNL268W|YNL270C|YOL020W|YOR348C|YPL265W
SPBC354.11c	NONE
SPBC354.10	YKL054C
SPBC354.09c	YJR126C|YOR256C|YPL176C
SPBC354.08c	YMR266W
SPBC354.07c	YHR001W|YKR003W|YOR237W|YPL145C
SPBC354.06	YPL013C
SPBC354.04	NONE
SPBC342.06c	YLL002W
SPBC342.04	YLR421C
SPBC342.03	YOL030W
SPBC342.02	YOR168W
SPBC337.12	NONE
SPBC337.11	YMR152W
SPBC337.10c	YKR071C
SPBC337.07c	YHR132C
SPBC337.03	YDR289C
SPBC336.13c	YMR035W
SPBC336.11	YDR484W
SPBC336.05c	NONE
SPBC336.02	YPL266W
SPBC32H8.09	NONE
SPBC32H8.08c	YIL085C|YNL029C
SPBC32H8.06	NONE
SPBC32H8.05	YBL028C
SPBC32H8.04c	YDR339C
SPBC32H8.01c	YER128W
SPBC32F12.15	YDR079C-A
SPBC32F12.12c	YMR071C
SPBC32F12.10	YKL127W|YMR105C
SPBC32F12.07c	YMR187C
SPBC32F12.01c	YER019W
SPBC31F10.17c	NONE
SPBC31F10.16	YJL099W|YKR027W|YMR237W|YOR299W
SPBC31F10.12	YER007C-A
SPBC31F10.10c	YMR100W
SPBC31F10.07	YCL034W
SPBC31F10.05	NONE
SPBC31F10.03	YER163C
SPBC31F10.02	NONE
SPBC31E1.06	YPL217C
SPBC31E1.01c	YNL242W
SPBC31A8.01c	YDL204W|YDR233C
SPBC30D10.17c	YGR229C
SPBC30D10.16	YNL316C
SPBC30D10.15	YNL124W
SPBC30D10.14	YAL049C
SPBC30D10.12c	YGR215W
SPBC30D10.09c	NONE
SPBC30D10.08	YJR144W
SPBC30D10.07c	YDL141W
SPBC30D10.05c	YIR035C|YIR036C
SPBC30D10.03c	YOR155C
SPBC30D10.02	YDR397C
SPBC30B4.06c	YGL236C
SPBC30B4.03c	YDL233W
SPBC30B4.02c	YNL224C
SPBC2G5.05	YBR117C|YPR074C
SPBC2G5.04c	YML067C
SPBC2G5.03	YGL211W
SPBC2G5.02c	YGL019W|YOR039W
SPBC2G5.01	YNR021W
SPBC2G2.17c	YIL123W|YJL116C|YKR042W|YNL066W
SPBC2G2.16	YER003C
SPBC2G2.15c	YGL136C
SPBC2G2.14	NONE
SPBC2G2.13c	YHR144C
SPBC2G2.12	YPR033C
SPBC2G2.11	YLR195C
SPBC2G2.10c	NONE
SPBC2G2.07c	YPL118W
SPBC2G2.02	YNL106C
SPBC2F12.15c	YDR459C|YNL326C
SPBC2F12.12c	NONE
SPBC2F12.10	YDR322W
SPBC2F12.05c	YAR042W|YDL019C
SPBC2F12.03c	YDR206W
SPBC2F12.02c	YDR237W
SPBC2D10.19c	YJL122W
SPBC2D10.16	YOL086W-A
SPBC2D10.15c	YHR189W
SPBC2D10.09	YDR036C
SPBC2D10.08c	YML025C
SPBC2D10.07c	YMR150C
SPBC2D10.04	YJL084C|YKR021W
SPBC2D10.03c	YCR090C
SPBC2A9.13	NONE
SPBC2A9.11c	YPR045C
SPBC2A9.10	NONE
SPBC2A9.09	YOR281C
SPBC2A9.07c	NONE
SPBC2A9.06c	YDL193W
SPBC2A9.05c	YDR084C
SPBC2A9.04c	YDR143C
SPBC2A9.03	NONE
SPBC2A9.02	YLL056C
SPBC29B5.04c	YNL094W
SPBC29A3.21	NONE
SPBC29A3.16	YOR294W
SPBC29A3.15c	YGL129C
SPBC29A3.13	YLR455W
SPBC29A3.11c	YOR100C|YOR130C
SPBC29A3.09c	YFR009W
SPBC29A3.07c	NONE
SPBC29A3.06	YJL069C
SPBC29A3.05	YML041C
SPBC29A3.03c	YDR255C
SPBC29A3.01	YDR270W
SPBC29A10.16c	YNL111C
SPBC29A10.12	NONE
SPBC29A10.10c	YLR430W
SPBC29A10.09c	NONE
SPBC29A10.08	YLR343W
SPBC29A10.07	YMR129W
SPBC29A10.06c	NONE
SPBC29A10.03c	YPR018W
SPBC29A10.02	NONE
SPBC28F2.11 	YDR174W
SPBC28F2.09	YOR194C
SPBC28F2.08c	YLR207W
SPBC28F2.05c	YJR096W
SPBC28E12.06c	YCR032W
SPBC28E12.04	NONE
SPBC28E12.02	YLL032C
SPBC27B12.14	YGR174C
SPBC27B12.12c	YOL130W
SPBC27B12.11c	NONE
SPBC27B12.09c	YIL134W
SPBC27B12.08	YJL207C
SPBC27B12.07	YLR283W
SPBC27B12.05	YOL063C
SPBC27B12.04c	YNL127W
SPBC27B12.03c	YLR056W
SPBC27B12.02	NONE
SPBC27B12.01c	YLL006W
SPBC27.05	NONE
SPBC27.04	NONE
SPBC27.01c	YNL149C
SPBC26H8.13c	NONE
SPBC26H8.12	YAL039C
SPBC26H8.11c	YBL095W
SPBC26H8.09c	YFL049W
SPBC26H8.05c	YDR075W
SPBC26H8.04c	YJR138W
SPBC25H2.16c	YDR358W|YHR108W
SPBC25H2.15	YOL022C
SPBC25H2.14	YKR030W
SPBC25H2.11c	YBR081C
SPBC25H2.10c	YGL232W
SPBC25H2.09	YFR011C
SPBC25H2.08c	YOR334W|YPL060W
SPBC25H2.06c	YNL263C
SPBC25H2.04c	YDL217C
SPBC25H2.03	YLR386W
SPBC25D12.06	YGL064C
SPBC25B2.10	NONE
SPBC25B2.09c	YDR341C|YHR091C
SPBC25B2.08	NONE
SPBC25B2.07c	NONE
SPBC25B2.06c	NONE
SPBC25B2.04c	YMR097C
SPBC25B2.03	YMR140W
SPBC25B2.01	YKR084C
SPBC24C6.10c	YDL146W
SPBC24C6.09c	NONE
SPBC24C6.08c	YGR057C
SPBC24C6.04	YHR037W
SPBC24C6.03	YER087W
SPBC24C6.02	YFL002C
SPBC244.02c	YDR449C
SPBC23G7.14	NONE
SPBC23G7.13c	YHL016C
SPBC23G7.11	YER142C
SPBC23G7.10c	NONE
SPBC23G7.07c	YLR003C
SPBC23G7.06c	YPR091C
SPBC23E6.10c	YPR118W
SPBC23E6.06c	YDR487C
SPBC23E6.02	YOR191W
SPBC23E6.01c	YBR212W|YHR086W
SPBC21H7.06c	YOL032W
SPBC21H7.04	YKR024C
SPBC21H7.03c	YAR071W|YBR092C|YBR093C|YDL024C|YHR215W
SPBC21D10.10	NONE
SPBC21D10.09c	YMR247C
SPBC21D10.08c	NONE
